Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
19.2,91666948,1552,59063.8,48143.0,9632,98493,28872.6,"void mul_mat_vec_q<(ggml_type)21, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
17.7,84654484,1328,63745.8,66398.5,8991,91966,23896.3,"void mul_mat_vec_q<(ggml_type)18, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
17.3,82559142,1136,72675.3,84670.0,9599,96414,23818.8,"void mul_mat_vec_q<(ggml_type)22, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.4,35499468,480,73957.2,90686.5,8896,92990,24449.3,"void mul_mat_vec_q<(ggml_type)16, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.2,34369276,512,67127.5,77982.0,29792,92830,22768.4,"void mul_mat_vec_q<(ggml_type)17, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
7.1,33746595,528,63914.0,27775.5,6944,941165,154662.8,"void mul_mat_vec_q<(ggml_type)23, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
5.8,27568933,448,61537.8,65006.0,28704,82270,20164.2,"void mul_mat_q<(ggml_type)10, (int)8, (bool)0, (mmq_stream_mode)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
2.5,11842512,768,15419.9,15552.0,13600,16128,464.0,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0, (bool)1, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int, ggml_cuda_gdn_norm, const int *)"
2.3,10820754,304,35594.6,9280.0,7936,87679,32935.3,"void mul_mat_vec_q<(ggml_type)12, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.2,10377254,1536,6756.0,6688.0,5792,7423,312.6,"void mul_mat_vec_f<__nv_bfloat16, float, (int)4, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
2.2,10274100,5968,1721.5,1728.0,1375,2464,173.5,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
1.2,5950699,2816,2113.2,2176.0,1632,2688,195.0,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.1,5283177,2064,2559.7,2560.0,2272,3520,94.7,"void rms_norm_mul_bcast_f32<(int)1024, float, (int)5>(const float *, const float *, T2 *, int, long, long, long, float)"
1.1,5135077,768,6686.3,6688.0,6208,7007,104.5,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.6,2989189,64,46706.1,34191.0,31231,93918,22801.8,"void mul_mat_vec_q<(ggml_type)29, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2822224,768,3674.8,3680.0,3199,4608,124.7,"conv_state_concat(const float *, const float *, float *, float *, long, int, int, long, long, long, long, long, const float *, long, float *, long)"
0.6,2697734,64,42152.1,38254.5,8928,77214,32818.0,"void mul_mat_vec_q<(ggml_type)19, (int)4, (bool)0, (bool)0, (bool)0, (int)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mmvq_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,2692336,256,10516.9,10432.0,9472,11807,403.7,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.5,2559727,1024,2499.7,2496.0,2016,2944,123.2,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.4,1826639,784,2329.9,2336.0,1728,3072,145.4,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.4,1800062,768,2343.8,2336.0,2016,2752,113.4,"void rms_norm_silu_f32<(int)128, float>(const float *, const float *, const float *, T2 *, int, long, long, long, float)"
0.3,1515779,768,1973.7,1952.0,1760,2432,87.2,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long, long)"
0.3,1433933,768,1867.1,1856.0,1664,2048,61.0,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,1148757,432,2659.2,2624.0,2336,3008,131.8,"void mul_mat_q_stream_k_fixup<(ggml_type)10, (int)8, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.2,957645,768,1246.9,1248.0,1120,1536,36.0,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.2,956323,768,1245.2,1248.0,1088,1600,37.0,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.2,882274,256,3446.4,3456.0,3007,4256,192.4,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.2,747726,448,1669.0,1664.0,1472,2176,107.6,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)2, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.1,694130,256,2711.4,2720.0,2464,2880,76.0,"void rms_norm_mul_rope_f32<(int)256, (bool)0, __half>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool, mrope_sections, int, bool, bool)"
0.1,643021,256,2511.8,2528.0,2272,2592,66.8,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.1,441114,256,1723.1,1728.0,1568,1888,54.2,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,427291,256,1669.1,1664.0,1536,1760,42.8,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
